movie,platform,review_text,date,year,rating,clean_text
La La Land,letterboxd,this cured my depression and brought it back full force in the span of 2 hours,14 Jan 2017,2017,★★★★★,this cured my depression and brought it back full force in the span of 2 hours
La La Land,letterboxd,Love this movie more than I love myself,24 Jun 2017,2017,★★★★½,love this movie more than i love myself
La La Land,letterboxd,I've taken all of your criticisms into account and have determined that you're all wrong.,15 Jan 2017,2017,★★★★★,ive taken all of your criticisms into account and have determined that youre all wrong
La La Land,letterboxd,la la land makes me want to be alive for one hour and fifty minutes then sebastian says welcome to seb's and it makes me want to be dead,01 Feb 2020,2020,★★★★★,la la land makes me want to be alive for one hour and fifty minutes then sebastian says welcome to sebs and it makes me want to be dead
La La Land,letterboxd,the whole ‘what could've been’ sequence continues to be the reason for my death.,28 Jan 2023,2023,★★★★★,the whole what couldve been sequence continues to be the reason for my death
La La Land,letterboxd,It’s insane how there’s still haters of this movie bruh like imma put you in a saw trap,03 Aug 2023,2023,★★★★★,its insane how theres still haters of this movie bruh like imma put you in a saw trap
La La Land,letterboxd,no YOU live in a society i live in la la land,22 Oct 2019,2019,★★★★★,no you live in a society i live in la la land
La La Land,letterboxd,"amy: you can just tell us a story :)mia: about?amy: you can just tell us anything :)mia:amy: whenever you're ready :)mia: ................... my aunt used to live in paris. I remember, she used to come home and she would tell us these stories about being abroad. and I remember, she told us that she jumped into the river once. barefoot. she smiled... leapt without looking .... aNd tumbled into... the seine.... the water was freezing....…more",19 May 2018,2018,★★★★★,amy you can just tell us a story mia aboutamy you can just tell us anything miaamy whenever youre ready mia my aunt used to live in paris i remember she used to come home and she would tell us these stories about being abroad and i remember she told us that she jumped into the river once barefoot she smiled leapt without looking and tumbled into the seine the water was freezingmore
La La Land,letterboxd,THEY BELIEVED IN EACH OTHER SO MUCH!!!!!!!! THEY WERE SO IN LOVE!!!!!!!!!!! I'M A FUCKING WRECK!!!!!!!!!!!!,28 Jan 2017,2017,★★★★★,they believed in each other so much they were so in love im a fucking wreck
La La Land,letterboxd,this movie is like a double-edged sword because a) it makes me really fucking happy b) it makes me really fucking sad c) it makes me want to stab myself with said sword,05 Apr 2018,2018,★★★★★,this movie is like a doubleedged sword because a it makes me really fucking happy b it makes me really fucking sad c it makes me want to stab myself with said sword
