movie,platform,review_text,date,year,rating
La La Land,letterboxd,this cured my depression and brought it back full force in the span of 2 hours,14 Jan 2017,2017,★★★★★
La La Land,letterboxd,Love this movie more than I love myself,24 Jun 2017,2017,★★★★½
La La Land,letterboxd,I've taken all of your criticisms into account and have determined that you're all wrong.,15 Jan 2017,2017,★★★★★
La La Land,letterboxd,la la land makes me want to be alive for one hour and fifty minutes then sebastian says welcome to seb's and it makes me want to be dead,01 Feb 2020,2020,★★★★★
La La Land,letterboxd,the whole ‘what could've been’ sequence continues to be the reason for my death.,28 Jan 2023,2023,★★★★★
La La Land,letterboxd,“No Jamal...you be trippin.”,15 Jan 2018,2018,★★★★½
La La Land,letterboxd,It’s insane how there’s still haters of this movie bruh like imma put you in a saw trap,03 Aug 2023,2023,★★★★★
La La Land,letterboxd,no YOU live in a society i live in la la land,22 Oct 2019,2019,★★★★★
La La Land,letterboxd,"amy: you can just tell us a story :)mia: about?amy: you can just tell us anything :)mia:amy: whenever you're ready :)mia: ................... my aunt used to live in paris. I remember, she used to come home and she would tell us these stories about being abroad. and I remember, she told us that she jumped into the river once. barefoot. she smiled... leapt without looking .... aNd tumbled into... the seine.... the water was freezing....…more",19 May 2018,2018,★★★★★
La La Land,letterboxd,THEY BELIEVED IN EACH OTHER SO MUCH!!!!!!!! THEY WERE SO IN LOVE!!!!!!!!!!! I'M A FUCKING WRECK!!!!!!!!!!!!,28 Jan 2017,2017,★★★★★
La La Land,letterboxd,this movie is like a double-edged sword because a) it makes me really fucking happy b) it makes me really fucking sad c) it makes me want to stab myself with said sword,05 Apr 2018,2018,★★★★★
La La Land,letterboxd,･ ｡☆city∴｡　*･ﾟ*of｡★･･ stars｡　　 *･ ﾟ*｡･ﾟare★｡☆ﾟ･｡you°*. ﾟ*　　ﾟ｡·*･｡shining ﾟ*ﾟ *.｡just ☆｡★　･* ☆ ｡･ﾟfor*.｡*　★ ﾟme･｡ * ｡･　　ﾟ☆ ｡Happy La La Land dayyyy!,25 Apr 2018,2018,★★★★★
La La Land,letterboxd,I enjoy the 2016 Damien Chazelle filmLa La Land.,09 Mar 2020,2020,★★★★★
La La Land,letterboxd,"I want to take some time to talk about the Epilogue of the film.I've heard many different theories about what the Epilogue truly means. The reality is the idea that true love is being willing to make sacrifices. In this Epilogue, Sebastian was far more willing to make sacrifices for Mia than she was for him. There is a scene earlier on in the film that beautifully foreshadows the entire story. The scene after Sebastian finds Mia's keys and…more",30 Jul 2020,2020,★★★★★
La La Land,letterboxd,"the type of movie that makes me wanna drive alone all night long, reminiscing about moments I’ve never lived",23 May 2021,2021,★★★★★
La La Land,letterboxd,singin' in the pain,18 Sep 2022,2022,★★★★★
La La Land,letterboxd,why was john legend such a jump-scare,07 Apr 2022,2022,★★★★½
La La Land,letterboxd,"I cried like a baby, got some loud assholes kicked out of the theater, and accidentally got into the wrong car and scared the shit out of some random lady! BEST NIGHT! I FUCKING LOVE LA LA LAND! BEST MOVIE EVER!",23 Jan 2017,2017,★★★★★
La La Land,letterboxd,"""5 years later"" is where I draw the line",22 Jun 2023,2023,★★★★★
