movie,platform,review_text,date,year,rating,clean_text
Parasite,letterboxd,"Update:Now in video formThere is a house on a hill, and there are people in it. And they're nice, but not really. There is a garden, and there they get a lot of sunlight. And it is nice, and they get to sleep there sometimes.There is a house underground, and there are people in it. And they're the first to tell you that they're not very nice: they're con-men, grifters, forgers and imposters. They sit among stink…more",14 Aug 2019,2019.0,★★★★★,updatenow in video formthere is a house on a hill and there are people in it and theyre nice but not really there is a garden and there they get a lot of sunlight and it is nice and they get to sleep there sometimesthere is a house underground and there are people in it and theyre the first to tell you that theyre not very nice theyre conmen grifters forgers and imposters they sit among stinkmore
Parasite,letterboxd,call me by your name’s cum peach walked so parasite’s killer peach could run,09 Aug 2019,2019.0,★★★★★,call me by your names cum peach walked so parasites killer peach could run
Parasite,letterboxd,Our expectations were high but HOLY FUCK,06 Sep 2019,2019.0,★★★★★,our expectations were high but holy fuck
Parasite,letterboxd,a question to people who rate this 4.5: what more do you want literally what more do you want,26 Oct 2019,2019.0,★★★★★,a question to people who rate this 45 what more do you want literally what more do you want
Parasite,letterboxd,The tent won’t leak. It’s from America.,07 Nov 2019,2019.0,★★★★½,the tent wont leak its from america
Parasite,letterboxd,"Woh, that kid is going to need a much bigger trauma recovery cake.",10 Feb 2020,2020.0,★★★★★,woh that kid is going to need a much bigger trauma recovery cake
Parasite,letterboxd,"One detail I noticed this time around is that Min and Mr. Park both react the same way to being asked if they like or love the people that they're romantically involved with– by laughing. And in Mr. Park's case, giving a sarcastic answer that undercuts his saying 'yes'. Min and Mr. Park are both seen as powerful figures deserving of respect, and the way they dismissively respond to an earnest question about whether they truly care for the people…more",06 Nov 2019,2019.0,★★★★★,one detail i noticed this time around is that min and mr park both react the same way to being asked if they like or love the people that theyre romantically involved with by laughing and in mr parks case giving a sarcastic answer that undercuts his saying yes min and mr park are both seen as powerful figures deserving of respect and the way they dismissively respond to an earnest question about whether they truly care for the peoplemore
Parasite,letterboxd,morse code me by your name and i'll morse code you by mine,01 Nov 2019,2019.0,★★★★★,morse code me by your name and ill morse code you by mine
Parasite,letterboxd,The bloody napkin scene....top 3 scenes of all time. Hands down.,15 Oct 2019,2019.0,★★★★★,the bloody napkin scenetop 3 scenes of all time hands down
Parasite,letterboxd,"crazy rich asians walked, so that they could get stabbed in parasite",17 Jan 2020,2020.0,★★★★★,crazy rich asians walked so that they could get stabbed in parasite
Parasite,letterboxd,A garden party.A basement.A stone.A cake.A knife.A seizure.A car-key.A sausage skewer.A smell.A murder.The most thrilling scene in years.,21 Jul 2019,2019.0,★★★★★,a garden partya basementa stonea cakea knifea seizurea carkeya sausage skewera smella murderthe most thrilling scene in years
Parasite,letterboxd,maybe the real parasite... was the friends we made along the way,14 Aug 2019,2019.0,,maybe the real parasite was the friends we made along the way
Parasite,letterboxd,"Jessica, only child ✌️ from Illinois Chicago, classmate of Kim Jin-mo, he’s your cousin✌️🎼Easily, without a doubt, the best hook of 2019",15 Aug 2019,2019.0,★★★★★,jessica only child from illinois chicago classmate of kim jinmo hes your cousineasily without a doubt the best hook of 2019
Parasite,letterboxd,"""No one can imitate North Korean news anchors like you"" gotta be the rarest compliment ever",09 Jan 2023,2023.0,★★★★½,no one can imitate north korean news anchors like you gotta be the rarest compliment ever
Parasite,letterboxd,when your circle small but y'all crazy,06 Mar 2023,2023.0,★★★★★,when your circle small but yall crazy
Parasite,letterboxd,parasite is my minimalist architecture porn like yes unplastered grey stone walls mahogany floor and impractical enormous glass panels inject that in me,27 Aug 2019,2019.0,★★★★½,parasite is my minimalist architecture porn like yes unplastered grey stone walls mahogany floor and impractical enormous glass panels inject that in me
Parasite,letterboxd,"Something I’ve wondered since the first viewing: toward the end when Ki-Woo mentions “the doctor who looked nothing like a doctor” and “the lawyer who looked nothing like a lawyer,” is this meant to subtly hint thateveryonein this universe is faking it, not just the Kims?",17 Jan 2020,2020.0,★★★★★,something ive wondered since the first viewing toward the end when kiwoo mentions the doctor who looked nothing like a doctor and the lawyer who looked nothing like a lawyer is this meant to subtly hint thateveryonein this universe is faking it not just the kims
Parasite,letterboxd,not to sound dramatic but that flood scene changed me,28 Oct 2019,2019.0,★★★★★,not to sound dramatic but that flood scene changed me
Parasite,letterboxd,"Watched with a live orchestra and an introduction by Bong. It was one of my favorite experiences at a theatre, obviously.",26 Jan 2020,2020.0,★★★★★,watched with a live orchestra and an introduction by bong it was one of my favorite experiences at a theatre obviously
Parasite,letterboxd,"They’re rich but still niceThey’re nice because they’re richPeerless, perfection.",10 Oct 2022,2022.0,★★★★★,theyre rich but still nicetheyre nice because theyre richpeerless perfection
Parasite,letterboxd,"I'M SCREAMING I'M CRYING THIS IS THE BEST SHIT THAT HAS EVER HAPPENED THE FILM THAT TRULY MADE ME A CINEPHILE IS THE FIRST FOREIGN FILM TO EVER WIN BEST PICTURE WE WON bong can now finally go and drink his guts out, bless his heart",10 Feb 2020,2020.0,★★★★★,im screaming im crying this is the best shit that has ever happened the film that truly made me a cinephile is the first foreign film to ever win best picture we won bong can now finally go and drink his guts out bless his heart
Parasite,letterboxd,"""she always ate enough for two""BITCH bong joon-ho's mind, he's a GENIUS",16 Feb 2020,2020.0,★★★★★,she always ate enough for twobitch bong joonhos mind hes a genius
Parasite,letterboxd,"“lemons into lemonade”anyways, when you guys are eating the rich, which condiment are you choosing? i’m a ketchup girl myself",06 Jun 2020,2020.0,★★★★★,lemons into lemonadeanyways when you guys are eating the rich which condiment are you choosing im a ketchup girl myself
Parasite,letterboxd,I hadn't seen a trailer and had no idea what the premise of it even was and BOY OH BOY did I have a wonderful couple of hours. Pure movie joy.,15 Oct 2019,2019.0,★★★★½,i hadnt seen a trailer and had no idea what the premise of it even was and boy oh boy did i have a wonderful couple of hours pure movie joy
Parasite,letterboxd,"I've come to make an announcement:The Academy is a bitch ass motherfucker. They pissed on Song Kang-Ho's chances of getting a Supporting Actor nod. That's right, this bunch of quilly dicks pissed all over a truly nuanced and powerful performance and they said Brad Pitt's dick was ""this big"" and I said ""that's disgusting"".So I'm making a callout post on my letterboxd dot com: Academy, you got a small dick, its the size of this peach except way…more",18 Jan 2020,2020.0,★★★★½,ive come to make an announcementthe academy is a bitch ass motherfucker they pissed on song kanghos chances of getting a supporting actor nod thats right this bunch of quilly dicks pissed all over a truly nuanced and powerful performance and they said brad pitts dick was this big and i said thats disgustingso im making a callout post on my letterboxd dot com academy you got a small dick its the size of this peach except waymore
Parasite,letterboxd,"despite what mr. park might think, this moviesmellsso fucking good",11 Aug 2019,2019.0,★★★★★,despite what mr park might think this moviesmellsso fucking good
Parasite,letterboxd,"“Dad, today I made a plan.”It’s absolutely fucking absurd that Song Kang-Ho did not get any Oscar attention for his role in this film. He gives the most expressive, wide-ranging performance of the year. I mean, the entire ensemble is outstanding (I think I’ve already said how terrific Cho Yeo-jeong’s comedic performance is) but Song is the emotional center of this film both in its funniest and it’s most tragic moments. Also, after five viewings (I know) of this…more",19 Jan 2020,2020.0,★★★★★,dad today i made a planits absolutely fucking absurd that song kangho did not get any oscar attention for his role in this film he gives the most expressive wideranging performance of the year i mean the entire ensemble is outstanding i think ive already said how terrific cho yeojeongs comedic performance is but song is the emotional center of this film both in its funniest and its most tragic moments also after five viewings i know of thismore
Parasite,letterboxd,kim ki-taek the original self isolator,13 Mar 2020,2020.0,★★★★★,kim kitaek the original self isolator
Parasite,letterboxd,"Unintentionally decided now, in the middle of my Ansel binge, was a good time to rewatch this. Not realizing I also decided to rewatch Parasite in the middle of my Noah Centineo marathon. Just putting that out there as a way of thanking Bong for getting me through these tough times.",02 May 2020,2020.0,★★★★★,unintentionally decided now in the middle of my ansel binge was a good time to rewatch this not realizing i also decided to rewatch parasite in the middle of my noah centineo marathon just putting that out there as a way of thanking bong for getting me through these tough times
Parasite,letterboxd,"Holy fucking shit. I can’t tell if this movie is a masterpiece or if Bong Joon-ho himself is the masterpiece.The poster for this film quotes David Ehrlich’s Indiewire review that says this solidifies his movies as a genre of their own, and he’s totally right. I couldn’t possibly place this into a solid genre, but every little genre it does dip into, it knocks out of the park. I loved it. I can’t stop thinking about it. I went…more",29 Jun 2019,2019.0,★★★★★,holy fucking shit i cant tell if this movie is a masterpiece or if bong joonho himself is the masterpiecethe poster for this film quotes david ehrlichs indiewire review that says this solidifies his movies as a genre of their own and hes totally right i couldnt possibly place this into a solid genre but every little genre it does dip into it knocks out of the park i loved it i cant stop thinking about it i wentmore
Parasite,letterboxd,"I'm not the biggest fan of reading long essays on Letterboxd, and this is definitely one of those - so if you'd like to read it on Medium with some photos and headers, check it out here:link.medium.com/QdG86fMem1“This is so metaphorical!”This. This right here. Wow. I don’t wanna speak too soon, but Parasite might be among the best films of the decade. It’s the rare mix of accessible mainstream storytelling that anyone can enjoy, accompanied by plenty of…more",04 Nov 2019,2019.0,★★★★★,im not the biggest fan of reading long essays on letterboxd and this is definitely one of those so if youd like to read it on medium with some photos and headers check it out herelinkmediumcomqdg86fmem1this is so metaphoricalthis this right here wow i dont wanna speak too soon but parasite might be among the best films of the decade its the rare mix of accessible mainstream storytelling that anyone can enjoy accompanied by plenty ofmore
Parasite,letterboxd,"Bong Joon-ho, the sui generis South Korean auteur behind unclassifiable modern wonders like “Barking Dogs Never Bite” and “The Host,” has always made films that refuse to fit the narrow parameters of any particular genre. Each of them is built atop a bedrock of comic violence that Bong uses to support the weight of the heavy stories he places on top of it, but simply categorizing “Snowpiercer” as science-fiction or “Memories of Murder” as a mystery would require you to…more",22 May 2019,2019.0,★★★★½,bong joonho the sui generis south korean auteur behind unclassifiable modern wonders like barking dogs never bite and the host has always made films that refuse to fit the narrow parameters of any particular genre each of them is built atop a bedrock of comic violence that bong uses to support the weight of the heavy stories he places on top of it but simply categorizing snowpiercer as sciencefiction or memories of murder as a mystery would require you tomore
Parasite,letterboxd,Would’ve been even better if I could read,12 May 2021,2021.0,★★★★★,wouldve been even better if i could read
Parasite,letterboxd,yup....... this is the best movie that has ever been fucking made,02 Feb 2020,2020.0,★★★★★,yup this is the best movie that has ever been fucking made
Parasite,letterboxd,damn that kid really has the worst birthdays huh,09 Feb 2020,2020.0,★★★★★,damn that kid really has the worst birthdays huh
Parasite,letterboxd,"jessica, only child,from illinois, chicago.i'm a classmate of your cousin",17 Aug 2019,2019.0,★★★★½,jessica only childfrom illinois chicagoim a classmate of your cousin
Parasite,letterboxd,"I saw someone on Twitter doing that annoying thing where they sneer at the idea that a movie that people love really could be as good as they say and then asking for more opinions, hoping to find just one person who says something like ""it was fine"" and then latch onto that one take as the definitive proof that there's some sort of conspiracy (?) to declare a film as great when it's actually ""just fine."" It's a very…more",11 Oct 2019,2019.0,★★★★★,i saw someone on twitter doing that annoying thing where they sneer at the idea that a movie that people love really could be as good as they say and then asking for more opinions hoping to find just one person who says something like it was fine and then latch onto that one take as the definitive proof that theres some sort of conspiracy to declare a film as great when its actually just fine its a verymore
Parasite,letterboxd,still perfect just had to check in again,11 Nov 2025,2025.0,★★★★★,still perfect just had to check in again
Parasite,letterboxd,You are not ready for this film. I shit you not. Parasite is a tour de force. The hype is true. It is really a masterpiece in its own right.,17 Aug 2019,2019.0,★★★★★,you are not ready for this film i shit you not parasite is a tour de force the hype is true it is really a masterpiece in its own right
Parasite,letterboxd,if this doesn’t win the palme d’or i’m burning the palais to the groundETA WE FUCKIN DID IT BONG WON THE PALME,21 May 2019,2019.0,★★★★★,if this doesnt win the palme dor im burning the palais to the groundeta we fuckin did it bong won the palme
Parasite,letterboxd,i be in the club requestingjessica only child illinois chicago classmate of kim jin-mo he’s your cousin ding dong,01 Feb 2020,2020.0,★★★★★,i be in the club requestingjessica only child illinois chicago classmate of kim jinmo hes your cousin ding dong
