movie,platform,review_text,date,year,rating
Parasite,letterboxd,"Update:Now in video formThere is a house on a hill, and there are people in it. And they're nice, but not really. There is a garden, and there they get a lot of sunlight. And it is nice, and they get to sleep there sometimes.There is a house underground, and there are people in it. And they're the first to tell you that they're not very nice: they're con-men, grifters, forgers and imposters. They sit among stink…more",14 Aug 2019,2019.0,★★★★★
Parasite,letterboxd,call me by your name’s cum peach walked so parasite’s killer peach could run,09 Aug 2019,2019.0,★★★★★
Parasite,letterboxd,Another Bong hit.,09 Oct 2019,2019.0,
Parasite,letterboxd,Our expectations were high but HOLY FUCK,06 Sep 2019,2019.0,★★★★★
Parasite,letterboxd,a question to people who rate this 4.5: what more do you want literally what more do you want,26 Oct 2019,2019.0,★★★★★
Parasite,letterboxd,The tent won’t leak. It’s from America.,07 Nov 2019,2019.0,★★★★½
Parasite,letterboxd,"Woh, that kid is going to need a much bigger trauma recovery cake.",10 Feb 2020,2020.0,★★★★★
Parasite,letterboxd,"One detail I noticed this time around is that Min and Mr. Park both react the same way to being asked if they like or love the people that they're romantically involved with– by laughing. And in Mr. Park's case, giving a sarcastic answer that undercuts his saying 'yes'. Min and Mr. Park are both seen as powerful figures deserving of respect, and the way they dismissively respond to an earnest question about whether they truly care for the people…more",06 Nov 2019,2019.0,★★★★★
Parasite,letterboxd,morse code me by your name and i'll morse code you by mine,01 Nov 2019,2019.0,★★★★★
Parasite,letterboxd,The bloody napkin scene....top 3 scenes of all time. Hands down.,15 Oct 2019,2019.0,★★★★★
Parasite,letterboxd,"crazy rich asians walked, so that they could get stabbed in parasite",17 Jan 2020,2020.0,★★★★★
Parasite,letterboxd,A garden party.A basement.A stone.A cake.A knife.A seizure.A car-key.A sausage skewer.A smell.A murder.The most thrilling scene in years.,21 Jul 2019,2019.0,★★★★★
Parasite,letterboxd,maybe the real parasite... was the friends we made along the way,14 Aug 2019,2019.0,
Parasite,letterboxd,"Jessica, only child ✌️ from Illinois Chicago, classmate of Kim Jin-mo, he’s your cousin✌️🎼Easily, without a doubt, the best hook of 2019",15 Aug 2019,2019.0,★★★★★
Parasite,letterboxd,"""No one can imitate North Korean news anchors like you"" gotta be the rarest compliment ever",09 Jan 2023,2023.0,★★★★½
Parasite,letterboxd,when your circle small but y'all crazy,06 Mar 2023,2023.0,★★★★★
Parasite,letterboxd,parasite is my minimalist architecture porn like yes unplastered grey stone walls mahogany floor and impractical enormous glass panels inject that in me,27 Aug 2019,2019.0,★★★★½
Parasite,letterboxd,"Something I’ve wondered since the first viewing: toward the end when Ki-Woo mentions “the doctor who looked nothing like a doctor” and “the lawyer who looked nothing like a lawyer,” is this meant to subtly hint thateveryonein this universe is faking it, not just the Kims?",17 Jan 2020,2020.0,★★★★★
Parasite,letterboxd,not to sound dramatic but that flood scene changed me,28 Oct 2019,2019.0,★★★★★
Parasite,letterboxd,"Watched with a live orchestra and an introduction by Bong. It was one of my favorite experiences at a theatre, obviously.",26 Jan 2020,2020.0,★★★★★
Parasite,letterboxd,"They’re rich but still niceThey’re nice because they’re richPeerless, perfection.",10 Oct 2022,2022.0,★★★★★
Parasite,letterboxd,"I'M SCREAMING I'M CRYING THIS IS THE BEST SHIT THAT HAS EVER HAPPENED THE FILM THAT TRULY MADE ME A CINEPHILE IS THE FIRST FOREIGN FILM TO EVER WIN BEST PICTURE WE WON bong can now finally go and drink his guts out, bless his heart",10 Feb 2020,2020.0,★★★★★
Parasite,letterboxd,"""she always ate enough for two""BITCH bong joon-ho's mind, he's a GENIUS",16 Feb 2020,2020.0,★★★★★
Parasite,letterboxd,"“lemons into lemonade”anyways, when you guys are eating the rich, which condiment are you choosing? i’m a ketchup girl myself",06 Jun 2020,2020.0,★★★★★
Parasite,letterboxd,I hadn't seen a trailer and had no idea what the premise of it even was and BOY OH BOY did I have a wonderful couple of hours. Pure movie joy.,15 Oct 2019,2019.0,★★★★½
Parasite,letterboxd,"I've come to make an announcement:The Academy is a bitch ass motherfucker. They pissed on Song Kang-Ho's chances of getting a Supporting Actor nod. That's right, this bunch of quilly dicks pissed all over a truly nuanced and powerful performance and they said Brad Pitt's dick was ""this big"" and I said ""that's disgusting"".So I'm making a callout post on my letterboxd dot com: Academy, you got a small dick, its the size of this peach except way…more",18 Jan 2020,2020.0,★★★★½
Parasite,letterboxd,"despite what mr. park might think, this moviesmellsso fucking good",11 Aug 2019,2019.0,★★★★★
Parasite,letterboxd,"“Dad, today I made a plan.”It’s absolutely fucking absurd that Song Kang-Ho did not get any Oscar attention for his role in this film. He gives the most expressive, wide-ranging performance of the year. I mean, the entire ensemble is outstanding (I think I’ve already said how terrific Cho Yeo-jeong’s comedic performance is) but Song is the emotional center of this film both in its funniest and it’s most tragic moments. Also, after five viewings (I know) of this…more",19 Jan 2020,2020.0,★★★★★
Parasite,letterboxd,kim ki-taek the original self isolator,13 Mar 2020,2020.0,★★★★★
Parasite,letterboxd,"Unintentionally decided now, in the middle of my Ansel binge, was a good time to rewatch this. Not realizing I also decided to rewatch Parasite in the middle of my Noah Centineo marathon. Just putting that out there as a way of thanking Bong for getting me through these tough times.",02 May 2020,2020.0,★★★★★
Parasite,letterboxd,"Holy fucking shit. I can’t tell if this movie is a masterpiece or if Bong Joon-ho himself is the masterpiece.The poster for this film quotes David Ehrlich’s Indiewire review that says this solidifies his movies as a genre of their own, and he’s totally right. I couldn’t possibly place this into a solid genre, but every little genre it does dip into, it knocks out of the park. I loved it. I can’t stop thinking about it. I went…more",29 Jun 2019,2019.0,★★★★★
Parasite,letterboxd,"I'm not the biggest fan of reading long essays on Letterboxd, and this is definitely one of those - so if you'd like to read it on Medium with some photos and headers, check it out here:link.medium.com/QdG86fMem1“This is so metaphorical!”This. This right here. Wow. I don’t wanna speak too soon, but Parasite might be among the best films of the decade. It’s the rare mix of accessible mainstream storytelling that anyone can enjoy, accompanied by plenty of…more",04 Nov 2019,2019.0,★★★★★
Parasite,letterboxd,"Bong Joon-ho, the sui generis South Korean auteur behind unclassifiable modern wonders like “Barking Dogs Never Bite” and “The Host,” has always made films that refuse to fit the narrow parameters of any particular genre. Each of them is built atop a bedrock of comic violence that Bong uses to support the weight of the heavy stories he places on top of it, but simply categorizing “Snowpiercer” as science-fiction or “Memories of Murder” as a mystery would require you to…more",22 May 2019,2019.0,★★★★½
Parasite,letterboxd,Would’ve been even better if I could read,12 May 2021,2021.0,★★★★★
Parasite,letterboxd,yup....... this is the best movie that has ever been fucking made,02 Feb 2020,2020.0,★★★★★
Parasite,letterboxd,damn that kid really has the worst birthdays huh,09 Feb 2020,2020.0,★★★★★
Parasite,letterboxd,"jessica, only child,from illinois, chicago.i'm a classmate of your cousin",17 Aug 2019,2019.0,★★★★½
Parasite,letterboxd,"I saw someone on Twitter doing that annoying thing where they sneer at the idea that a movie that people love really could be as good as they say and then asking for more opinions, hoping to find just one person who says something like ""it was fine"" and then latch onto that one take as the definitive proof that there's some sort of conspiracy (?) to declare a film as great when it's actually ""just fine."" It's a very…more",11 Oct 2019,2019.0,★★★★★
Parasite,letterboxd,still perfect just had to check in again,11 Nov 2025,2025.0,★★★★★
Parasite,letterboxd,You are not ready for this film. I shit you not. Parasite is a tour de force. The hype is true. It is really a masterpiece in its own right.,17 Aug 2019,2019.0,★★★★★
Parasite,letterboxd,if this doesn’t win the palme d’or i’m burning the palais to the groundETA WE FUCKIN DID IT BONG WON THE PALME,21 May 2019,2019.0,★★★★★
Parasite,letterboxd,i be in the club requestingjessica only child illinois chicago classmate of kim jin-mo he’s your cousin ding dong,01 Feb 2020,2020.0,★★★★★
Parasite,letterboxd,"Masterfully constructed and thoroughly compelling genre piece (effortlessly transitioning between familial drama, heist movie, satirical farce, subterranean horror) about the perverse and mutating symbiotic relationship of increasingly unequal, transactional class relationships, and who can and can't afford to be oblivious about the severe, violent material/psychic toll of capitalist accumulation. (""They say a ghost in the house brings wealth."") I think I ultimately admired this more than I felt it, it's clever and manufactured in a way that feels shiny and…more",09 Aug 2019,2019.0,★★★★
Parasite,letterboxd,What the fuck did you think I would give this?,11 Oct 2019,2019.0,★★★★★
Parasite,letterboxd,"Perhaps the most nuanced and merciless look at economic inequity and wealth corruption ever presented on film. Without question, Parasite is an uncompromising masterpiece that deserves every ounce of praise it receives.",16 Sep 2023,2023.0,★★★★★
Parasite,letterboxd,"yes, i am still thinking about the Parasite pizza delivery girl..",17 Nov 2020,2020.0,★★★★★
Parasite,letterboxd,BEST MOTHERFUCKING PICTURE,10 Feb 2020,2020.0,★★★★½
Parasite,letterboxd,Yeah I respect capitalism’s rights... capitalism’s rights to shut the fuck up,02 Jun 2020,2020.0,★★★★★
Parasite,letterboxd,"It's frustrating to watch movies by Bong Joon-ho. He comes close sometimes, but he never quite nails it when it comes to class consciousness.This film captures conflict between the working class and the bourgeoisie, but the essence of the relationship between the two is never made explicit, never truly captured. Instead of focusing on the basic economic exploitation that is universally true in every capitalist society, the film focuses on the treatment and perception of workers by the rich.…more",25 Nov 2019,2019.0,
Parasite,letterboxd,"so everyone is giving this a 5 because they've never seen a movie that depicts class conflict before this, right?i hope that's true.it's really fun and exhilarating in a roller-coaster kinda way, but outside of that it's pretty damn shallow. every character is basically a farcical cartoon and the whole thing reads like a slight-of-hand trick upon the audience that doesn't particularly hold up upon consideration, like a thrilling page-turner of a novel that has quickly falls apart…more",08 Nov 2019,2019.0,
Parasite,letterboxd,"And the oscar goes to…What’s there left to be said about a movie like Parasite. Rightfully celebrated as a true masterpiece, rewatching for the first time in IMAX since release only solidified it as such.This extremely fine tuned dance of opportunity and cunning; this commitment of showcasing class disparity in the most engaging way possible. Every moment is so perfectly crafted to keep a viewer wowed and entranced.How far will this all go you keep asking yourself…more",08 Feb 2025,2025.0,★★★★★
Parasite,letterboxd,"Simply put, this is one of those films that only grows in magnitude with each viewing. Best of the century type stuff right here. Not a lousy image or dull moment in sight. Masterpiece.",04 Mar 2025,2025.0,★★★★★
Parasite,letterboxd,watching this always makes me feel less guilty i used to steal starbucks gift cards as a child,17 May 2020,2020.0,★★★★★
Parasite,letterboxd,"My hands shake as I type these words but people didn't lie when they said this is one of the year's best movies. To me, 2019 is over and Parasite has freakin’ ended it all. You know that feeling when the movie is so good that when it ends, you feel as though a large part of your self has also departed from your body and eventually left behind a void inside you? That's exactly how I felt after watching…more",08 Aug 2019,2019.0,★★★★★
Parasite,letterboxd,"“i don’t trust anyone now”so original on every level and turns sinister so slowly that it was still shocking a second time. one of the best of the year, but you probably already knew that",18 Oct 2019,2019.0,★★★★½
Parasite,letterboxd,Best of the Decade.I’ve never been more sure of anything.,05 Sep 2019,2019.0,★★★★★
Parasite,letterboxd,"""She may look like a sheep, but inside, she's a fox.""",10 Nov 2019,2019.0,★★★★★
Parasite,letterboxd,"57Second viewing, no change. One of those movies where I stand back and admire it as a whole, and I recognize its influence, crossover appeal, and commercial success, but I nonetheless am left cold, even distant from its construction. Not inclined to make an extensive argument (my original review still stands), but if I did, I would begin by saying that its propulsive genre inclinations often clash against its loftier social ideas, and the smooth mechanics of the narrative…more",02 Jan 2020,2020.0,★★★
Parasite,letterboxd,"57Bong Joon-ho's long con.Parasiteis representative of both his style and his limitations. What a stellar first act, which moves vertically between semi-basement homes and high-class spaces, tracking the financial gain and life-changing upward trajectory of one family and, most damning, the rich stasis of the other. Never has the visual repetition of a rich businessman trudging home after a loooooong day at work (so sad) been so vicious. Bong's framing allows for the class divide to showcase…more",13 Aug 2019,2019.0,★★★
Parasite,letterboxd,"Parasite exhibits total technical and conceptual mastery of Bong’s favorite themes while simultaneously taking his oeuvre to new places. He seamlessly weaves together melodrama, satire, comedy and horror elements while ultimately centering deeply lovable and flawed characters. Anyone living in a capitalist democracy will find a lot to chew on here…",26 Jul 2021,2021.0,★★★★★
Parasite,letterboxd,“i just feel comfortable here. it feels like i was born here”i can’t stop watching this. bonghive let’s GO!,24 Oct 2019,2019.0,★★★★½
Parasite,letterboxd,“You know what kind of plan never fails? no plan. no plan at all. you know why? because life cannot be planned.”,15 Sep 2023,2023.0,★★★★★
Parasite,letterboxd,"Uuund da hätten wir vermutlich das cineastische Schlusswort 2019: „Parasite“ ist eine wahre Freude. Inszenatorisch so meisterhaft konzipiert, strukturiert und gefilmt, dass man sich die Finger lecken möchte, gespickt mit ein paar der schönsten Bildkompositionen, die man dieses Jahr im Kino finden wird, spielt Bong-Joon Ho mit den Genres, als wäre es ein Kinderspiel. „Parasite“ ist packend, perfide, bisweilen absurd komisch, sensibel und bitterböse, erstaunlicherweise sogar oftmals alles gleichzeitig. Und während man noch fasziniert staunt, wie sich all diese Fäden…more",21 Aug 2019,2019.0,★★★★½
Parasite,letterboxd,and now i must live with knowing i was at cannes and could have attended the 2nd ever screening of best picture winner parasite but simply overslept,12 Feb 2020,2020.0,★★★★★
Parasite,letterboxd,Masterfully made.Funny and horrifying.They nailed the Katrina scenes.Watching your sneakers getting filled with water on the stairs.Crying using a floating box or table to move out.Help people less fortunate than you.Love this movie more and more every day.,29 Jan 2020,2020.0,★★★★★
Parasite,letterboxd,"moves from absurd comedy to soul-crushing tragedy so beautifully im not sure whether to laugh or cry or panic. i wish I had something more meaningful to say right now but im at such a loss for words and its tough to conjure up something deeper than “masterpiece”. bong joon-ho, the genius you are, crafting one of the most stomach-turning / unrelenting environments in film… an environment where every minor shift in power feels monumental. so unbelievably good and so unbelievably heartbreaking. this films weight cannot be understated. earth-shattering stuff.",22 Jan 2025,2025.0,★★★★★
Parasite,letterboxd,It's so metaphorical.,20 Oct 2025,2025.0,★★★★★
