movie,platform,review_text,date,year,rating,clean_text
Schindlers List,letterboxd,"A red coat. That's all it is. It's used to keep warm, a shelter against the blistering cold. Gusts of wind tatter and billow, threatening the gentle glow that results from the little red coat. In all the horror, the absolute Hell, the devastation, the inhumanity; a simple color evokes so much more than the thought of gentle compliments and a tender smile.Steven Spielberg'sSchindler's Listis simply one of the greatest films committed to celluloid. Bar none. No…more",30 Jan 2015,2015,★★★★★,a red coat thats all it is its used to keep warm a shelter against the blistering cold gusts of wind tatter and billow threatening the gentle glow that results from the little red coat in all the horror the absolute hell the devastation the inhumanity a simple color evokes so much more than the thought of gentle compliments and a tender smilesteven spielbergsschindlers listis simply one of the greatest films committed to celluloid bar none nomore
Schindlers List,letterboxd,"As iconic, almost mythic of a filmmaker Steven Spielberg is, this is the sort of film you would never imagine he has in him. Masterpiece in every sense of the word.",04 Oct 2023,2023,★★★★★,as iconic almost mythic of a filmmaker steven spielberg is this is the sort of film you would never imagine he has in him masterpiece in every sense of the word
Schindlers List,letterboxd,if you have any information regarding the whereabouts of ralph fiennes' missing oscar please contact me,19 Feb 2018,2018,★★★★,if you have any information regarding the whereabouts of ralph fiennes missing oscar please contact me
Schindlers List,letterboxd,"This film bothers me and not because of its subject matter, but because of its treatment of it.When making a film about the Holocaust, everything you do is fraught with danger. One could even argue that visualizing the Holocaust in a work of fiction is something that shouldn't be attempted as such inhuman suffering and mindless slaughter should be dealt with in reality, not in the realms of fiction.If you approach Spielberg's film as such, there is a…more",24 Oct 2012,2012,★★★★,this film bothers me and not because of its subject matter but because of its treatment of itwhen making a film about the holocaust everything you do is fraught with danger one could even argue that visualizing the holocaust in a work of fiction is something that shouldnt be attempted as such inhuman suffering and mindless slaughter should be dealt with in reality not in the realms of fictionif you approach spielbergs film as such there is amore
Schindlers List,letterboxd,what can i possibly say,28 Jan 2023,2023,★★★★★,what can i possibly say
Schindlers List,letterboxd,can you believe some ppl are still sleeping on ralph fiennes? he didn’t become a nazi and voldemort for this,10 Oct 2019,2019,★★★★★,can you believe some ppl are still sleeping on ralph fiennes he didnt become a nazi and voldemort for this
Schindlers List,letterboxd,"genuinely and completely perfect, I've only heard good things about this but I was never expecting to lose myself in it as much as I did. this film respectfully honors every person who died in the holocaust in the most beautiful and sympathetic way possible. nothing here is manipulating, everything is true.",10 May 2018,2018,★★★★★,genuinely and completely perfect ive only heard good things about this but i was never expecting to lose myself in it as much as i did this film respectfully honors every person who died in the holocaust in the most beautiful and sympathetic way possible nothing here is manipulating everything is true
Schindlers List,letterboxd,"100Schindler's Listis often hypocritical. It tugs at the heartstrings while stripping its formal mechanics of sentiment. It portrays the truth of history while often succumbing to cheap suspense tactics (the shower scene). It provides a snapshot of the industrialized functions of the holocaust while rarely moving beyond the story at hand, which would be fine if it didn't sway into broader digressions. Spielberg's pride in making it, and deciding *this* story is the one to tell has always…more",27 Nov 2019,2019,★★★★★,100schindlers listis often hypocritical it tugs at the heartstrings while stripping its formal mechanics of sentiment it portrays the truth of history while often succumbing to cheap suspense tactics the shower scene it provides a snapshot of the industrialized functions of the holocaust while rarely moving beyond the story at hand which would be fine if it didnt sway into broader digressions spielbergs pride in making it and deciding this story is the one to tell has alwaysmore
Schindlers List,letterboxd,"This is not just a movie, rather a lesson. A lesson that shows us how terrible we can be. How terrible we can treat our fellow man. How terrible a person can be when power is involved. A lesson that every school should teach young and old.",30 Apr 2021,2021,★★★★★,this is not just a movie rather a lesson a lesson that shows us how terrible we can be how terrible we can treat our fellow man how terrible a person can be when power is involved a lesson that every school should teach young and old
Schindlers List,letterboxd,"One of the most essential, powerfully moving & profoundly affecting films to ever grace the silver screen,Schindler's Listis the crowning achievement in the remarkable film career of Steven Spielberg and finds the master storyteller at the pinnacle of his artistry. Crafted with painstaking care & dedication, it is rightfully acknowledged as one of the most honoured & significant films of all time.Set during World War II, the story follows Oskar Schindler, a war profiteer & Nazi party member who arrives in…more",07 Jun 2015,2015,★★★★★,one of the most essential powerfully moving profoundly affecting films to ever grace the silver screenschindlers listis the crowning achievement in the remarkable film career of steven spielberg and finds the master storyteller at the pinnacle of his artistry crafted with painstaking care dedication it is rightfully acknowledged as one of the most honoured significant films of all timeset during world war ii the story follows oskar schindler a war profiteer nazi party member who arrives inmore
Schindlers List,letterboxd,Truly wild to think a couple years earlier the same director made Hook,06 May 2025,2025,,truly wild to think a couple years earlier the same director made hook
Schindlers List,letterboxd,"it's hard to believe that this film was made by the same man who, just four years prior, directed a scene in which Adolf Hitler signs an autograph for Indiana Jones",13 Apr 2022,2022,★★★★★,its hard to believe that this film was made by the same man who just four years prior directed a scene in which adolf hitler signs an autograph for indiana jones
Schindlers List,letterboxd,"Spielberg minimizes one of the most horrifying events in history for profit and prestige. The perspective of the film constantly sides with the nazis, valuing their world view over those about to be murdered. When Spielberg does shift perspective, it is facile and even stereotypical. All of the oppressed in the film are regulated to the background and thus their torment is not truly felt or understood. The shower scene is astonishingly exploitative in how the emotional reaction being prodded…more",10 Aug 2016,2016,★★,spielberg minimizes one of the most horrifying events in history for profit and prestige the perspective of the film constantly sides with the nazis valuing their world view over those about to be murdered when spielberg does shift perspective it is facile and even stereotypical all of the oppressed in the film are regulated to the background and thus their torment is not truly felt or understood the shower scene is astonishingly exploitative in how the emotional reaction being proddedmore
