movie,platform,review_text,date,year,rating,clean_text
Titanic,letterboxd,"Watched this for the first time as GOD intended, on two VHS tapes.",20 Aug 2016,2016,★★★,watched this for the first time as god intended on two vhs tapes
Titanic,letterboxd,oh boy i really thought jack was going to make it this time,11 May 2020,2020,★★★★★,oh boy i really thought jack was going to make it this time
Titanic,letterboxd,haha wow fucked up if true,24 Oct 2016,2016,,haha wow fucked up if true
Titanic,letterboxd,"my life has never known peace since rose stared cal right in the eyes and said ""i'd rather be his whore than your wife""",27 Jan 2017,2017,★★★★★,my life has never known peace since rose stared cal right in the eyes and said id rather be his whore than your wife
Titanic,letterboxd,jack calling rose stupid while simultaneously kissing her is peak romance,13 Aug 2021,2021,★★★★★,jack calling rose stupid while simultaneously kissing her is peak romance
Titanic,letterboxd,"Aesthetically, Jack is a lesbian",29 Feb 2020,2020,★★★★,aesthetically jack is a lesbian
Titanic,letterboxd,"how can anyone hate this movie when jack, handcuffed to a pipe in a room rapidly filling with water, yells ""I'll just wait here!""",26 Jul 2018,2018,★★★★★,how can anyone hate this movie when jack handcuffed to a pipe in a room rapidly filling with water yells ill just wait here
Titanic,letterboxd,"I liked how during every nighttime scene you could actually see everything that was happening onscreen, more movies should do that",20 Sep 2024,2024,★★★★½,i liked how during every nighttime scene you could actually see everything that was happening onscreen more movies should do that
Titanic,letterboxd,No one has ever looked as good as Leonardo DiCaprio and Kate Winslet looked in this film,02 Aug 2017,2017,★★★★★,no one has ever looked as good as leonardo dicaprio and kate winslet looked in this film
Titanic,letterboxd,"someone: there wa-me, an intellectual: YOU IMBECILE. YOU ABSOLUTE MORON. THEY COULDN’T HAVE BOTH FIT ON THE RAFT. THEY TRIED AND IT STARTED TO SINK. THERE WAS ONLY ROOM FOR ONE. DRAWING THE SHAPE OF IT ON THE FLOOR ISN’T THE SAME AS BEING IN THE MIDDLE OF THE ATLANTIC OCEAN. AND ANO-",19 May 2018,2018,★★★★★,someone there wame an intellectual you imbecile you absolute moron they couldnt have both fit on the raft they tried and it started to sink there was only room for one drawing the shape of it on the floor isnt the same as being in the middle of the atlantic ocean and ano
Titanic,letterboxd,"“he exists now.. only in my memory”a few minutes ago i had so much to say, and now it’s all a cloudy haze. this movie is the only way i can seem to properly mourn my mother, i think because i shove my negative feelings so deep down that i forget they exist at all. but i let my grief come to the surface for the first time in a long time, and i needed to. this movie brings…more",03 Aug 2019,2019,★★★★★,he exists now only in my memorya few minutes ago i had so much to say and now its all a cloudy haze this movie is the only way i can seem to properly mourn my mother i think because i shove my negative feelings so deep down that i forget they exist at all but i let my grief come to the surface for the first time in a long time and i needed to this movie bringsmore
Titanic,letterboxd,when that one guy said “only women! no men!” so true x,09 May 2021,2021,★★★★★,when that one guy said only women no men so true x
Titanic,letterboxd,all life is a game of luck.,16 May 2020,2020,★★★★★,all life is a game of luck
Titanic,letterboxd,leftie snowflake boat DESTROYED by republican iceberg,13 Feb 2023,2023,★★★★½,leftie snowflake boat destroyed by republican iceberg
Titanic,letterboxd,"""winning that ticket was the best thing that ever happened to me""... was it though?",26 Aug 2018,2018,★★★★,winning that ticket was the best thing that ever happened to me was it though
Titanic,letterboxd,love this old lady just having a bunch of framed photos of kate winslet on her nightstand,15 Dec 2022,2022,★★★★★,love this old lady just having a bunch of framed photos of kate winslet on her nightstand
Titanic,letterboxd,"scary, sexy, devoid of irony, takes itself completely seriously but not without good humor, an overt reminder that they really, really don’t make em like they used to. don’t get the criticism that it aged poorly unless you feel undue affection for the snarky nothingness of modern spectacle… it gives you everything you ask of it (the Titanic) and more (Victor Garber). how could you watch and not love the movies!",25 Jul 2021,2021,★★★★★,scary sexy devoid of irony takes itself completely seriously but not without good humor an overt reminder that they really really dont make em like they used to dont get the criticism that it aged poorly unless you feel undue affection for the snarky nothingness of modern spectacle it gives you everything you ask of it the titanic and more victor garber how could you watch and not love the movies
Titanic,letterboxd,"nothing has ever wrecked me like this.i repeat, no real-life event in the history of the world holds a candle to the awesome, inimitable wrecking power of this film",11 Jun 2018,2018,★★★★★,nothing has ever wrecked me like thisi repeat no reallife event in the history of the world holds a candle to the awesome inimitable wrecking power of this film
Titanic,letterboxd,I won't listen to anyone who tells me this isn't a masterpiece.,24 Aug 2016,2016,★★★★★,i wont listen to anyone who tells me this isnt a masterpiece
