movie,platform,review_text,date,year,rating
Titanic,letterboxd,"Watched this for the first time as GOD intended, on two VHS tapes.",20 Aug 2016,2016,★★★
Titanic,letterboxd,oh boy i really thought jack was going to make it this time,11 May 2020,2020,★★★★★
Titanic,letterboxd,haha wow fucked up if true,24 Oct 2016,2016,
Titanic,letterboxd,"my life has never known peace since rose stared cal right in the eyes and said ""i'd rather be his whore than your wife""",27 Jan 2017,2017,★★★★★
Titanic,letterboxd,Heterosexual excellence,12 Apr 2020,2020,★★★★★
Titanic,letterboxd,the way of water,15 Dec 2022,2022,★★★★★
Titanic,letterboxd,jack calling rose stupid while simultaneously kissing her is peak romance,13 Aug 2021,2021,★★★★★
Titanic,letterboxd,"Aesthetically, Jack is a lesbian",29 Feb 2020,2020,★★★★
Titanic,letterboxd,"how can anyone hate this movie when jack, handcuffed to a pipe in a room rapidly filling with water, yells ""I'll just wait here!""",26 Jul 2018,2018,★★★★★
Titanic,letterboxd,"I liked how during every nighttime scene you could actually see everything that was happening onscreen, more movies should do that",20 Sep 2024,2024,★★★★½
Titanic,letterboxd,No one has ever looked as good as Leonardo DiCaprio and Kate Winslet looked in this film,02 Aug 2017,2017,★★★★★
Titanic,letterboxd,"someone: there wa-me, an intellectual: YOU IMBECILE. YOU ABSOLUTE MORON. THEY COULDN’T HAVE BOTH FIT ON THE RAFT. THEY TRIED AND IT STARTED TO SINK. THERE WAS ONLY ROOM FOR ONE. DRAWING THE SHAPE OF IT ON THE FLOOR ISN’T THE SAME AS BEING IN THE MIDDLE OF THE ATLANTIC OCEAN. AND ANO-",19 May 2018,2018,★★★★★
Titanic,letterboxd,"“he exists now.. only in my memory”a few minutes ago i had so much to say, and now it’s all a cloudy haze. this movie is the only way i can seem to properly mourn my mother, i think because i shove my negative feelings so deep down that i forget they exist at all. but i let my grief come to the surface for the first time in a long time, and i needed to. this movie brings…more",03 Aug 2019,2019,★★★★★
Titanic,letterboxd,when that one guy said “only women! no men!” so true x,09 May 2021,2021,★★★★★
Titanic,letterboxd,all life is a game of luck.,16 May 2020,2020,★★★★★
Titanic,letterboxd,leftie snowflake boat DESTROYED by republican iceberg,13 Feb 2023,2023,★★★★½
Titanic,letterboxd,"""winning that ticket was the best thing that ever happened to me""... was it though?",26 Aug 2018,2018,★★★★
Titanic,letterboxd,love this old lady just having a bunch of framed photos of kate winslet on her nightstand,15 Dec 2022,2022,★★★★★
Titanic,letterboxd,"scary, sexy, devoid of irony, takes itself completely seriously but not without good humor, an overt reminder that they really, really don’t make em like they used to. don’t get the criticism that it aged poorly unless you feel undue affection for the snarky nothingness of modern spectacle… it gives you everything you ask of it (the Titanic) and more (Victor Garber). how could you watch and not love the movies!",25 Jul 2021,2021,★★★★★
Titanic,letterboxd,"nothing has ever wrecked me like this.i repeat, no real-life event in the history of the world holds a candle to the awesome, inimitable wrecking power of this film",11 Jun 2018,2018,★★★★★
Titanic,letterboxd,I won't listen to anyone who tells me this isn't a masterpiece.,24 Aug 2016,2016,★★★★★
Titanic,letterboxd,"""Women and machinery do not mix!"" was this generation's ""women don't belong in balloons.""masterpiece. unimpeachable. an eminently watchable 3-hour epic with not a second of fat on it. wanted to rewatch this after the climax of avatar 2. haven't seen it since i was a kid, when we visited my uncle as he was putting on the second of the two-part VHS. literally all i remember is going ""wow"" and being glued to the screen, then losing my mind…more",18 Dec 2022,2022,★★★★★
Titanic,letterboxd,One of the greatest pieces of cinematic pop art ever.,09 Feb 2023,2023,★★★★★
Titanic,letterboxd,not to be annoying but if you dislike this you hate love,17 Aug 2022,2022,★★★★★
Titanic,letterboxd,NOW YOU KNOW THAT THERE WAS A MAN NAMED JACK DAWSON AND HE SAVED ME IN EVERY WAY THAT A PERSON CAN BE SAVED,17 Aug 2016,2016,★★★★½
Titanic,letterboxd,water is evil,14 Sep 2016,2016,★★★★
